qa_id,dimension,category_name,granularity,source_document,question,reference_answer,llm_answer_correctness,llm_hallucination_score,llm_question_answerability,llm_category_validation,llm_reasoning,category_name_orig,dimension_orig,granularity_orig,agreement_type
678da7be-acdf-46ff-ad06-d9345d6d99d3,QC,comparative_analysis,medium,"Key Takeaway Table
|Ice Cider is a sweet, high-alcohol cider.
|Made by cryoextraction or cryoconcentration.
|Rich, sweet, with balanced acidity.
|More concentrated and sweeter than regular cider.
|Popular in Quebec, Canada, and cold regions.
|Best served chilled, great with desserts.
How is Ice Cider Made?
Two processes can make it, both concentrating the natural sugars in it.
In regions like Quebec and Vermont, where winters are harsh, cryoextraction is a common method. Here’s how it works:
- Natural Freezing: Apples remain on the tree, freezing naturally and concentrating their sugars.
- Harvesting the frozen apples is labour-intensive and relies on perfect weather conditions
- Pressing and Fermentation: Press the apples and freeze the juice further. The cider ferments at low temperatures for about 8 months.
This method is difficult because it needs certain weather and labour, but it makes a cider with great taste.
Cryoconcentration, the more prevalent method, involves a more controlled process:
- Fall Harvest and Freezing: Apples are harvested in fall and pressed. The juice is then frozen outdoors in containers over winter.
- Fermentation: As water freezes, sugars concentrate. The vats ferment this rich juice for around 7 months.
This method offers greater predictability and control, making it the preferred choice for consistent production.
What does it taste like?
It’s sweet with a balanced acidity, often described as having flavours of ripe apples, caramel, and spices. I...[truncated]","Which food pairings complement ice cider's flavor profile, particularly in terms of cheese and dessert combinations?","Ice cider pairs well with various foods due to its rich sweetness and balanced acidity. For desserts, it particularly complements apple pie, enhancing its fruity and spiced notes, and balances chocolate desserts with its sweetness and acidity. For cheese pairings, ice cider works excellently with blue cheese, balancing its intense flavors with sweet and fruity notes. It also pairs well with aged cheddar, making it less sharp, and complements the creamy textures of Brie and Camembert, enhancing their fruit and pacific flavors.",3,0,3,multi_span_aggregation,Requires gathering multiple food pairing suggestions (desserts and various cheeses) from different points in the text.,comparative_analysis,QC,medium,mismatch
a0081ca3-e1ce-4a5e-b4e4-ad8fc61a008e,QC,multi_hop_reasoning,fine,"The new Fabergé Dalliance collection of ladies’ watches and a new addition to the Fabergé Visionnaire collection for men - a dual time zone model - have been unveiled for the first time at Baselworld 2016. These contemporary watches, which reference Fabergé’s illustrious past and ability to surprise and delight, are united by volume, rotundity and artistry - characteristics that we associate with the brand’s iconic Easter Eggs and which have been cleverly interpreted in this 2016 line-up of Fabergé watches.
The name Fabergé has a magical ring to it, conjuring up nostalgic visions of Russia’s Imperial family as they exchanged lavishly decorated jewellery eggs at Easter. It evokes the splendour of the Romanov dynasty and captures the heyday of the Belle Époque era, when goldsmith Peter Carl Fabergé created jewels and precious objets d’art of sumptuous beauty to astound and amuse his patrons. His legendary creations, renowned for their vibrant use of colour and ingenious surprises, attracted worldwide attention, making Peter Carl Fabergé very much the jeweller du jour, before the Russian Revolution of 1917 brought a tragic end to the Romanovs and forced the Fabergé family to flee Russia.
Like the Easter Eggs that symbolise renewal, the Fabergé saga was reborn in 2007. The first watch collections for men and women made their debut in 2015, encapsulating the spirit of mechanical ingenuity and enchanting flights of fantasy and artistry cultivated by Peter Carl Fabergé.
The element ...[truncated]","What historical events led to the downfall of the original Fabergé business, and how was the brand later revived?","The original Fabergé business came to an end due to the Russian Revolution of 1917, which brought a tragic end to the Romanovs and forced the Fabergé family to flee Russia. The saga of Fabergé was later reborn in 2007, and the brand made its debut in watchmaking in 2015, creating collections that captured the spirit of mechanical ingenuity and enchanting artistry that Peter Carl Fabergé was known for.",3,0,3,single_hop_inference,Connects the Russian Revolution as the cause of the business ending to the 2007 brand revival.,multi_hop_reasoning,QC,fine,sibling
d6a3f192-2437-47cc-9c4f-7ad3563c1548,LV,conceptual_rephrase,medium,"Below is the text version for the Energy: 101 Biofuels video:
The video opens with ""Energy 101: Biofuels."" Time-lapse shot of airport traffic, followed by various shots of cars, trucks, airplanes, and trains in motion.
We all know that it takes a lot of fuel to keep our country running, right? Cars, trucks, planes, trains…
Shots of rural landscapes, followed by a shot of a biorefinery.
What if we could develop a homegrown, renewable source for those fuels? Well, good news — we already are!
Montage of biorefinery shots and shots of various feedstocks and harvesting.
We can create clean, renewable transportation fuels from plants, trees, and a range of other organic materials — in other words, biomass.
Shots of various feedstocks, followed by various laboratory and biorefinery shots, including researchers working.
Okay, so biomass is organic material — from forest thinnings and wastes…from crops grown to produce energy…and from other renewable energy sources like algae — that can all be converted into fuels. Scientists and engineers are finding new ways to make biofuels that can take the place of conventional fuels like gasoline, diesel, and jet fuel.
Shots of vials of various feedstocks, followed by shots of harvesting and transportation of wheat straw, corn stover, and agricultural waste. Shot of a large vat of feedstocks being processed in a biorefinery.
Here's where biofuels have a great advantage: they can be made from leftovers, or waste products. For example, nonedible b...[truncated]",What are the primary thermochemical pathways utilized in advanced biofuel production processes?,"There are two main thermochemical pathways for biofuel production. In one method, biomass is broken down using extreme heat without oxygen, producing a bio-crude oil that can be refined into biofuels. The other method, called thermochemical gasification, uses extreme heat with a small amount of oxygen to convert biomass solids into a gas, which can then be converted into biofuel.",3,0,3,high_lexical_overlap,The question uses terms like 'thermochemical pathways' and 'biofuel production' which overlap significantly with the document's wording.,conceptual_rephrase,LV,medium,mismatch
b3637630-4bbe-42de-86e6-de0e899ef65e,QC,complex,coarse,"Genetically Modified Food, Risk Assessment and Scientific Uncertainty Principles: Does the New Understanding of the Networked Gene Trigger the Need for Post-Market Surveillance to Protect Public Health?
Katharine A. Van Tassel
University of Akron, School of Law
July 7, 2009
Boston University Journal of Science and Technology Law, Vol. 15, pp. 220-251, 2009
Consumers in the United States are unaware that they have high daily and long-term exposure levels to novel and untested genetically modified substances through a heavy consumption of genetically modified plant food (“GM food”). This ignorance exists because labeling of GM ingredients on food packaging is not required by the Food & Drug Administration (“FDA”). Labeling is not required because genetically modified plant food is presumed by FDA regulations to be bioequivalent to traditional plant food. Thus, manufacturers of GM plant food are not required to test their products for safety for human consumption, are not required to obtain premarket approval from the FDA and are not required to list GM ingredients on product labels.
The FDA’s regulatory presumption of bioequivalence is based on the now dated Central Dogma of molecular biology. According to the Central Dogma, a gene is a static stretch of genetic code that acts like a blueprint, or a complete set of instructions, on how to build a protein. Based on this model, scientists have presumed that a gene from any organism can be precisely excised and neatly, predictably...[truncated]",How has the scientific understanding of genes changed from the old 'Central Dogma' view to the modern 'Networked Gene' perspective?,"The old Central Dogma viewed a gene as a static stretch of genetic code that acts like a blueprint with complete instructions for building a protein. However, recent scientific discoveries have revealed that genes actually operate in a 'Networked Gene' model, where they function in a highly contextual way and engage in intricate biochemical cross-talk. In this new understanding, changing the context in which a gene operates can change how the gene works, potentially creating a 'butterfly effect' on the entire organism. These changes can be passed to future generations through epigenetic inheritance and may be triggered by external environmental factors.",3,0,3,multi_hop_reasoning,Requires contrasting the 'Central Dogma' with the 'Networked Gene' model by synthesizing information about genetic function and environmental factors.,complex,QC,coarse,mismatch
21aa5743-e625-4676-84e5-420a9dc3dac2,AT,synthesis_or_analysis,medium,"Writing a media release requires a fine balance between promotion of your business and offering something newsworthy to the public. When looking through releases, editors like stories they can tell their readers or viewers--not just advertisements. If you want to advertise a product or service, purchase an ad. A media release offers information. If your new product helps people, don't focus on the product. Focus on why the help is needed. If you are opening a new store, focus on what the store will accomplish, how many jobs it will bring to the area and why the store is needed. Any release that is blatant advertising usually gets thrown away.
1. Type ""FOR IMMEDIATE RELEASE"" in bold lettering across the top of the page and centered. This lets the editor know that this is a media release. Below that, to the left, just like in a business letter, type ""Contact:"" and write your or the contact's name, business address, phone number, website address and email address. If the editor wants more information, she'll know how to get hold of you.
2. Write your headline. Center it in bold lettering a few spaces below the contact information. It needs to grab the attention of your reader, without being overly simplistic. If you have a new weight-loss product, say so, but keep it informational. For example: ""Local company helping curb childhood obesity with ...."" If you are contributing to a local charity or event, be sure to mention that.
3. Write the lead paragraph. It's quite possible tha...[truncated]","What are the key differences between a media release and an advertisement, and how should a company present their product launch in a media release?","A media release differs from an advertisement in that it should offer newsworthy information rather than promotional content. When presenting a product launch in a media release, companies should focus on why the help is needed rather than the product itself. For example, if opening a new store, emphasize what it will accomplish, job creation, and community need. Blatant advertising in media releases usually gets discarded. The release should provide information that editors can use to tell stories to their readers or viewers. If you want to advertise a product or service directly, you should purchase an ad instead.",3,0,3,analytical_synthesis,"Analyzes and synthesizes the differences between media releases and ads, providing specific advice on presentation.",synthesis_or_analysis,AT,medium,hierarchical_child
a9380fd6-e293-441d-a638-e2a295f39a28,LV,moderate_lexical_overlap,fine,"THE ANGLO-PORTUGUESE SOCIETY – 70 YEARS OF HISTORY
Posted On July 13, 2018
In 1938 a group of business men in London with interests in Portugal planned a dinner in honour of the newly arrived Portuguese Ambassador , Dr. Armindo Monteiro.
The affair held at The Dorchester Hotel on May 19th grew into a splendid occasion, attended by over three hundred people with the Rt. Hon. Sir Francis Lindley presiding[i]. The Rt. Hon. Lord Harlech was amongst those who made speeches, after which all those present agreed that something more tangible should be established to reflect the unique relationship between Britain and Portugal.[ii]
Thus on 20th July 1938, with the help of a generous grant from the Portuguese Government, the Anglo-Portuguese Society was formally constituted as a charitable body at the Casa de Portugal[iii] in London. Dr. Armindo Monteiro agreed to be its President as has every Portuguese Ambassador appointed to London since then.
Various distinguished people agreed to be Vice-Presidents and an Executive Committee was formed whose Chairman was Sir Denison Ross. Lieutenant Colonel John Cross Brown DSO was appointed the Honorary Secretary, a post he held for twelve years before serving as Chairman for a further seventeen. Viscount Davidson, Sir Alexander Roger, Colonel Bernard Hornung and Mr. Francis Woodhead were all other notable figures involved in the Society’s foundation.
The aims of the Society were laid down : to foster the historic relationship between Britain and...[truncated]","What are the specific administrative mechanisms for funding the Anglo-Portuguese Society's operations, particularly regarding governmental support and its evolution over time?","The Portuguese Government initially provided financial support to the Society, including a significant annual donation of £2,000 for administrative costs, which gradually increased to £4,000 by 1997. This arrangement allowed membership subscription fees to be devoted to cultural activities. However, in 2002 the grant was reduced back to £2,000 and was completely withdrawn in 2003 due to Portuguese austerity measures. This loss of income severely impacted the Society's finances, leading to an SOS Newsletter requesting voluntary donations, new member recruitment (especially Corporate Friends), and increased attendance at fund-raising events.",3,0,3,moderate_lexical_overlap,The question rephrases 'financial support' and 'administrative costs' but keeps 'Anglo-Portuguese Society'.,moderate_lexical_overlap,LV,fine,exact
ff239341-e7ff-4e31-92ea-a14b9c6bdef4,AT,extractive,coarse,"LEGACY OF SCIENCE AND SOCIETY
Dr. Lizabeth Johnson, email@example.com
In modern society, we are accustomed to the discussion of scientific theories and discoveries, as well as debates over the appropriate use of that scientific knowledge. For example, we frequently hear about debates over the teaching of evolution in schools versus the teaching of creationism, a subject which has carried over into our political campaigns and court system. Similarly, since the discovery of the nature of DNA in the 1950s, interest in and information about genetics has spilled over from scientific research facilities and into popular culture, even appearing in movies such as the X-Men. However, this interest in and concern over scientific theories and discoveries is not unique to modern society. Since the birth of science as a philosophical and practical pursuit in the ancient Greek world, scientists and ordinary people have debated the study and use of scientific knowledge. The work of ancient Greek scientists and natural philosophers was parodied in plays, such as Aristophanes’ The Clouds. While Roman scientists and physicians debated astronomical and medical theories among themselves, philosophers such as Lucretius forwarded the theory of atomism, drawing the ire of all those who accepted traditional Roman polytheism. In the medieval period, those societies that inherited Greco-Roman scientific and medical knowledge made few advances on that knowledge, but scientists and physicians faced resi...[truncated]",How did medieval societies handle the scientific knowledge inherited from the Greco-Roman period?,"In the medieval period, those societies that inherited Greco-Roman scientific and medical knowledge made few advances on that knowledge, but scientists and physicians faced resistance from religious figures, both Catholic and Muslim, because much of Greco-Roman science hailed from a pagan past.",3,0,3,condensed_summary,Provides a brief summary of how medieval societies treated Greco-Roman knowledge.,extractive,AT,coarse,mismatch
bb666786-c11c-4731-bc4f-9fa4d9160e05,AT,extractive,coarse,"A Pilgrim’s Walk: Camino April 2014
They say the Camino has a way of summoning you, and for the past few months I’ve felt the pull to get out on the trail once more. Last Thursday, I traveled from Santiago to León, Spain, and started walking back toward home. I looked forward to getting some alone time, feeling the satisfaction of putting a lot of miles under my feet, and meeting new pilgrim friends. It turns out I wasn’t disappointed.
León is 318 km from Santiago, and normally those who start in León take about 14 days to walk to Santiago. Since I only had a limited time for this Camino, I walked to Ponferrada over five days, a journey of about 100km or 62 miles.
It was a beautiful afternoon when I arrived in León and the centerpiece of the city, the Cathedral, was lit up brilliantly:
The paths out of León were mostly made of red clay. It was pretty, but so muddy I had to stop every few paces to scrape three inches of mud off my shoes:
There were special tributes to the Camino along the way, meant to encourage pilgrims to keep going:
I had set some “thinking goals” for things to think and pray about while I was on the trail. The first day, I was surprised because so many other thoughts wanted to come to the surface, it was really hard to clamp them down and focus on something focused! So for the first couple days I let my mind work through all the clutter that was there, and after that it was easier to pray purposefully. I’ve heard the Camino can be a “mind-clearing” journey...[truncated]",What geological characteristics were observed on the paths immediately outside of León?,"The paths out of León were mostly made of red clay. It was pretty, but so muddy I had to stop every few paces to scrape three inches of mud off my shoes.",3,0,3,entity_extraction,The answer identifies a specific factual detail (red clay) about the paths.,extractive,AT,coarse,mismatch
a1f33c95-b747-4cd7-bb6e-7b635e0e14ba,LV,conceptual_rephrase,medium,"Well in 2023 as we are, reports with data gathered from 2022 are continuing their slow and steady rollout. And, as they do, a picture of where we’re at – and a comparable image of where we want to be – are starting to take shape. Thus far, we’ve heard from various brands and bodies, including the likes of Nike and the Material Innovation Initiative, about their full-year metrics and more qualitative findings.
Now it’s the turn of the non-profit Apparel Impact Institute (Aii) to deliver its findings on CO2 and wastage reduction, cost-effectiveness and the potential scalability of its various programs.
An organization established in 2017 with a vision to create a “transformed apparel, footwear, and textile industry that has a positive impact on people and planet,” the Aii works to “identify, fund and scale proven quality solutions to accelerate positive impact in the industry” – essentially, providing infrastructure and funds where they’re most needed and where they can have the most powerful results.
Created by the coming-together of the Sustainable Apparel Coalition (SAC), the Sustainable Trade Initiative (IDH), Natural Resource Defense Council (NRDC) and Target Corporation, the Aii is an effective amalgam of industry leaders from the overlapping worlds of environmental protect and industrial sustainability.
With this in mind, it’s fitting that the report itself opens not with self-congratulation but with a warning – or, at least, a reminder that the global clothing industry ...[truncated]",What are the quantitative metrics for greenhouse gas reduction and resource conservation achieved by sustainability programs in the apparel industry during 2022?,"In 2022, the sustainability programs achieved greenhouse gas emissions savings equivalent to removing 12,127 cars from the roads. Additionally, they achieved energy savings equivalent to not using 3,504 washing machines, and water savings equal to almost 714 Olympic-sized swimming pools. These results were achieved across 380 factories, involving 29 brands and 1 manufacturer.",3,0,3,moderate_low_lexical_overlap,The question uses abstract terms like 'quantitative metrics' and 'resource conservation' for specific document figures.,conceptual_rephrase,LV,medium,mismatch
97e015e5-d37d-4869-9099-36aecc6d20ae,QC,single_hop_inference,fine,"Incompressible Potential Flow Research Using Panel Method
ShahNor Basri, Norzelawati Asmuin & Aznijar Ahmad Yazid
Universiti Putra Malaysia
Jabatan Kejuruteraan Aeroangkasa
Universiti Putra Malaysia, 43400 UPM SERDANG, Selangor D Elizabeth, Malaysia. [email protected] upm. edu. my
Incompressible potential flow problems are governed by simply LaplaceВЎВ¦s formula. In resolving linear, inviscid, irrotational movement about a body system moving in subsonic or supersonic rates of speed, panel methods can be used. Panel methods are numerical schemes for the perfect solution of the difficulty. The tools on the panel-method customer's disposal are definitely the representation of nearly irrelavent geometry using surface sections of source-doublet-vorticity distributions, and extremely versatile border condition capacities that can frequently be used pertaining to creative modeling. Panel-method capabilities and restrictions, basic ideas common to every panel-method requirements and different selections that were manufactured in the rendering of these concepts into operating computer courses are reviewed.
Panel method (fluid dynamics), incompressible potential flow, application programs (computer), computational liquid dynamics.
Incompressible inviscid flow is governed by LaplaceВЎВ¦s equation. An extremely general method to fix this equation is the -panel method. The flow could possibly be about a body system of any shape or past any kind of boundary. Nearly every boundary circumsta...[truncated]",What computational advantage does the panel method offer compared to traditional computational fluid dynamics when analyzing 3D flow fields?,"The panel method only requires calculation over the surface of the body when handling 3-dimensional field, while traditional computational fluid dynamics requires calculations for the entire three-dimensional field around the body. This reduces the computation, hence reducing computing time.",3,0,3,single_hop_inference,Explains the advantage by comparing the calculation requirements for 3D fields described in the text.,single_hop_inference,QC,fine,exact
